"2019-06-05 22:56:10","11.6","svmem(total=17138647040, available=9195282432, percent=46.3, used=7943364608, free=9195282432)","1 Synjas"
"2019-06-05 22:57:59","25.8","svmem(total=17138647040, available=9152491520, percent=46.6, used=7986155520, free=9152491520)","1 Synjas"
"2019-06-05 22:59:00","36.0","svmem(total=17138647040, available=9149382656, percent=46.6, used=7989264384, free=9149382656)","1 Synjas"
"2019-06-05 22:59:16","11.1","svmem(total=17138647040, available=9166864384, percent=46.5, used=7971782656, free=9166864384)","1 Synjas"
"2019-06-05 22:59:32","9.3","svmem(total=17138647040, available=9158447104, percent=46.6, used=7980199936, free=9158447104)","1 Synjas"
"2019-06-05 23:01:23","30.8","svmem(total=17138647040, available=8815054848, percent=48.6, used=8323592192, free=8815054848)","1 Synjas"
"2019-06-05 23:01:39","12.1","svmem(total=17138647040, available=8818503680, percent=48.5, used=8320143360, free=8818503680)","1 Synjas"
"2019-06-05 23:01:55","12.2","svmem(total=17138647040, available=8817246208, percent=48.6, used=8321400832, free=8817246208)","1 Synjas"
"2019-06-05 23:02:10","12.5","svmem(total=17138647040, available=8716595200, percent=49.1, used=8422051840, free=8716595200)","1 Synjas"
"2019-06-05 23:02:26","6.5","svmem(total=17138647040, available=8715800576, percent=49.1, used=8422846464, free=8715800576)","1 Synjas"
"2019-06-05 23:02:42","6.4","svmem(total=17138647040, available=8712028160, percent=49.2, used=8426618880, free=8712028160)","1 Synjas"
"2019-06-05 23:02:57","5.8","svmem(total=17138647040, available=8708489216, percent=49.2, used=8430157824, free=8708489216)","1 Synjas"
"2019-06-05 23:03:13","38.8","svmem(total=17138647040, available=8361594880, percent=51.2, used=8777052160, free=8361594880)","1 Synjas"
"2019-06-05 23:03:29","10.7","svmem(total=17138647040, available=8703197184, percent=49.2, used=8435449856, free=8703197184)","1 Synjas"
"2019-06-05 23:03:44","10.5","svmem(total=17138647040, available=9313300480, percent=45.7, used=7825346560, free=9313300480)","1 Synjas"
"2019-06-05 23:04:00","6.6","svmem(total=17138647040, available=9305198592, percent=45.7, used=7833448448, free=9305198592)","1 Synjas"
"2019-06-05 23:04:16","6.2","svmem(total=17138647040, available=9303973888, percent=45.7, used=7834673152, free=9303973888)","1 Synjas"
"2019-06-05 23:04:31","5.9","svmem(total=17138647040, available=9294602240, percent=45.8, used=7844044800, free=9294602240)","1 Synjas"
"2019-06-05 23:04:47","5.1","svmem(total=17138647040, available=9297006592, percent=45.8, used=7841640448, free=9297006592)","1 Synjas"
"2019-06-05 23:05:02","6.8","svmem(total=17138647040, available=9281044480, percent=45.8, used=7857602560, free=9281044480)","1 Synjas"
"2019-06-05 23:05:18","5.7","svmem(total=17138647040, available=9300045824, percent=45.7, used=7838601216, free=9300045824)","1 Synjas"
"2019-06-05 23:05:34","6.4","svmem(total=17138647040, available=9299779584, percent=45.7, used=7838867456, free=9299779584)","1 Synjas"
"2019-06-05 23:05:49","6.1","svmem(total=17138647040, available=9287675904, percent=45.8, used=7850971136, free=9287675904)","1 Synjas"
"2019-06-05 23:06:05","5.2","svmem(total=17138647040, available=9283100672, percent=45.8, used=7855546368, free=9283100672)","1 Synjas"
"2019-06-05 23:06:21","5.2","svmem(total=17138647040, available=9275076608, percent=45.9, used=7863570432, free=9275076608)","1 Synjas"
"2019-06-05 23:06:36","5.9","svmem(total=17138647040, available=9273139200, percent=45.9, used=7865507840, free=9273139200)","1 Synjas"
"2019-06-05 23:06:52","4.4","svmem(total=17138647040, available=9263628288, percent=45.9, used=7875018752, free=9263628288)","1 Synjas"
"2019-06-05 23:07:08","6.6","svmem(total=17138647040, available=9297616896, percent=45.8, used=7841030144, free=9297616896)","1 Synjas"
"2019-06-05 23:07:23","19.1","svmem(total=17138647040, available=9376428032, percent=45.3, used=7762219008, free=9376428032)","1 Synjas"
"2019-06-05 23:07:39","10.4","svmem(total=17138647040, available=9374793728, percent=45.3, used=7763853312, free=9374793728)","1 Synjas"
"2019-06-05 23:07:55","12.0","svmem(total=17138647040, available=9356005376, percent=45.4, used=7782641664, free=9356005376)","1 Synjas"
"2019-06-05 23:08:10","8.3","svmem(total=17138647040, available=9360187392, percent=45.4, used=7778459648, free=9360187392)","1 Synjas"
"2019-06-05 23:08:26","7.2","svmem(total=17138647040, available=9367654400, percent=45.3, used=7770992640, free=9367654400)","1 Synjas"
"2019-06-05 23:08:42","8.7","svmem(total=17138647040, available=9363210240, percent=45.4, used=7775436800, free=9363210240)","1 Synjas"
"2019-06-05 23:08:57","8.5","svmem(total=17138647040, available=9359929344, percent=45.4, used=7778717696, free=9359929344)","1 Synjas"
"2019-06-05 23:09:13","10.0","svmem(total=17138647040, available=9360519168, percent=45.4, used=7778127872, free=9360519168)","1 Synjas"
"2019-06-05 23:09:29","12.5","svmem(total=17138647040, available=9343819776, percent=45.5, used=7794827264, free=9343819776)","1 Synjas"
"2019-06-05 23:09:44","15.4","svmem(total=17138647040, available=9327190016, percent=45.6, used=7811457024, free=9327190016)","1 Synjas"
"2019-06-05 23:10:00","11.7","svmem(total=17138647040, available=9311338496, percent=45.7, used=7827308544, free=9311338496)","1 Synjas"
"2019-06-05 23:10:15","14.0","svmem(total=17138647040, available=9304469504, percent=45.7, used=7834177536, free=9304469504)","1 Synjas"
"2019-06-05 23:10:31","11.5","svmem(total=17138647040, available=9691648000, percent=43.5, used=7446999040, free=9691648000)","1 Synjas"
"2019-06-05 23:10:47","11.1","svmem(total=17138647040, available=9696743424, percent=43.4, used=7441903616, free=9696743424)","1 Synjas"
"2019-06-05 23:11:03","10.4","svmem(total=17138647040, available=9681117184, percent=43.5, used=7457529856, free=9681117184)","1 Synjas"
"2019-06-05 23:11:18","9.0","svmem(total=17138647040, available=9676627968, percent=43.5, used=7462019072, free=9676627968)","1 Synjas"
"2019-06-05 23:11:34","10.2","svmem(total=17138647040, available=9679273984, percent=43.5, used=7459373056, free=9679273984)","1 Synjas"
"2019-06-05 23:11:49","9.7","svmem(total=17138647040, available=9665519616, percent=43.6, used=7473127424, free=9665519616)","1 Synjas"
"2019-06-05 23:12:05","8.4","svmem(total=17138647040, available=9660297216, percent=43.6, used=7478349824, free=9660297216)","1 Synjas"
